,DualDragon,Niu,Fish,91Su,Havana,Leviathan,Xaq,ATalkingDog,knl,xinghuo,mie523,coolmoon,jibber,reve,steve,yohen,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,josuke,tianxuan,linda,wuwuwu,sora,shero,halevy
04:15:00,250,15,89,359,62,241,292,86,40,303,134,82,455,0,0,88,56,44,78,43,0,1309,1513,37,0,46,125,77,153,433
04:15:15,250,14,89,359,62,240,292,87,40,303,134,82,456,0,0,90,56,44,30,43,0,1307,1512,37,0,46,125,77,153,433
04:15:30,250,18,12,361,62,240,292,87,40,303,135,83,454,0,0,89,56,44,30,42,0,1307,1512,37,0,46,125,77,153,433
04:15:45,250,14,5,361,62,240,292,88,40,303,135,82,456,0,0,89,51,44,30,42,0,1305,1512,37,0,46,125,77,153,433
04:16:00,250,18,6,359,62,240,292,87,40,303,136,81,456,0,0,88,57,44,30,41,0,1304,1512,37,0,46,125,77,155,433
04:16:15,250,17,45,361,63,240,292,87,40,303,133,82,456,0,0,90,57,44,30,43,0,1304,1512,37,0,46,125,78,156,433
04:16:30,498,14,41,360,62,240,292,85,40,302,135,81,457,0,0,89,57,44,30,41,0,1304,1512,37,0,46,125,77,153,433
04:16:45,499,12,40,361,62,240,292,86,40,303,134,81,457,0,0,90,57,44,30,43,0,1304,1513,37,0,47,125,78,154,433
04:17:00,500,12,0,362,62,240,292,86,40,303,137,81,457,0,0,90,16,44,30,43,0,1303,1513,37,0,47,125,77,153,434
04:17:15,500,28,0,360,62,240,293,86,40,302,134,82,456,0,0,89,7,44,30,42,0,1302,1512,37,0,47,125,76,153,434
04:17:30,501,30,0,360,62,240,292,86,40,302,135,82,456,0,0,89,7,44,30,43,0,1302,1514,37,0,47,125,76,154,433
04:17:45,500,30,0,360,62,240,292,89,40,303,135,82,456,0,0,89,5,44,77,42,0,1301,1515,37,24,46,125,72,154,434
04:18:00,490,30,0,362,62,240,292,87,40,302,136,81,456,0,0,90,29,44,77,43,0,1300,1513,37,24,47,125,75,153,433
04:18:19,499,30,90,360,62,240,291,86,40,302,136,81,456,0,0,90,53,44,78,44,0,1301,1514,37,24,47,125,76,153,413
