,DualDragon,Niu,Fish,91Su,Havana,Leviathan,Xaq,ATalkingDog,knl,xinghuo,mie523,coolmoon,jibber,reve,steve,yohen,fenxiaosd,tange,savior,soryuushi,elsa975,mona,mxmbjs,josuke,tianxuan,linda,wuwuwu,sora,shero,halevy,mingk2,doctor,bike,makabaka,hmwww,bearlaptop
06:15:00,329.0,0.0,85.0,257.0,0.0,235.0,319.0,0.0,41.0,299.0,0.0,0.0,473.0,0.0,0.0,184.0,59.0,0.0,77.0,38.0,0.0,1129.0,1342.0,97.0,0.0,45.0,0.0,87.0,147.0,439.0,0.0,44.0,462.0,0.0,31.0,0.0
06:15:15,329.0,0.0,83.0,258.0,0.0,234.0,319.0,0.0,41.0,299.0,0.0,0.0,473.0,0.0,0.0,178.0,60.0,0.0,77.0,38.0,0.0,1129.0,1345.0,97.0,0.0,45.0,0.0,86.0,148.0,439.0,0.0,44.0,462.0,0.0,44.0,0.0
06:15:30,577.0,0.0,83.0,255.0,0.0,234.0,319.0,0.0,41.0,300.0,0.0,0.0,473.0,0.0,0.0,176.0,60.0,0.0,77.0,38.0,0.0,1129.0,1342.0,97.0,0.0,45.0,0.0,86.0,147.0,439.0,0.0,44.0,462.0,0.0,44.0,0.0
06:15:45,578.0,0.0,83.0,251.0,0.0,233.0,318.0,0.0,41.0,300.0,0.0,0.0,473.0,0.0,0.0,176.0,60.0,0.0,77.0,38.0,0.0,1130.0,1356.0,97.0,0.0,45.0,0.0,86.0,148.0,440.0,0.0,44.0,462.0,0.0,44.0,0.0
06:16:00,577.0,0.0,83.0,255.0,0.0,233.0,319.0,0.0,41.0,300.0,0.0,0.0,473.0,0.0,0.0,164.0,60.0,0.0,77.0,38.0,0.0,1130.0,1346.0,97.0,0.0,45.0,0.0,86.0,146.0,436.0,0.0,44.0,462.0,0.0,44.0,0.0
06:16:15,578.0,0.0,85.0,258.0,0.0,233.0,318.0,0.0,41.0,300.0,0.0,0.0,473.0,0.0,0.0,177.0,60.0,0.0,77.0,39.0,0.0,1130.0,1357.0,96.0,0.0,45.0,0.0,86.0,148.0,436.0,0.0,44.0,461.0,0.0,44.0,0.0
06:16:30,579.0,0.0,82.0,259.0,0.0,233.0,320.0,0.0,41.0,300.0,0.0,0.0,473.0,0.0,0.0,178.0,59.0,0.0,77.0,38.0,0.0,1130.0,1345.0,97.0,0.0,45.0,0.0,86.0,149.0,441.0,0.0,44.0,461.0,0.0,44.0,0.0
06:16:45,565.0,0.0,84.0,257.0,0.0,233.0,319.0,0.0,41.0,300.0,0.0,0.0,473.0,0.0,0.0,0.0,59.0,0.0,77.0,39.0,0.0,1129.0,1349.0,97.0,0.0,45.0,0.0,87.0,148.0,413.0,0.0,45.0,461.0,0.0,44.0,0.0
06:17:00,579.0,0.0,84.0,258.0,0.0,233.0,320.0,0.0,41.0,300.0,0.0,0.0,473.0,0.0,0.0,0.0,17.0,0.0,77.0,38.0,0.0,1129.0,1262.0,0.0,0.0,45.0,0.0,86.0,148.0,413.0,0.0,45.0,461.0,0.0,44.0,0.0
06:17:15,578.0,0.0,83.0,260.0,0.0,233.0,319.0,0.0,41.0,300.0,0.0,0.0,474.0,0.0,0.0,0.0,0.0,0.0,77.0,39.0,0.0,1129.0,1346.0,97.0,0.0,45.0,0.0,86.0,146.0,413.0,0.0,44.0,458.0,0.0,44.0,0.0
06:17:30,579.0,0.0,84.0,260.0,0.0,234.0,320.0,0.0,41.0,300.0,0.0,0.0,474.0,0.0,0.0,178.0,0.0,0.0,78.0,39.0,0.0,1128.0,1352.0,97.0,0.0,45.0,0.0,78.0,149.0,413.0,0.0,44.0,399.0,0.0,44.0,0.0
06:17:45,578.0,0.0,80.0,251.0,0.0,232.0,319.0,0.0,41.0,300.0,0.0,0.0,473.0,0.0,0.0,181.0,0.0,0.0,77.0,38.0,0.0,1131.0,856.0,97.0,0.0,45.0,0.0,79.0,145.0,438.0,0.0,44.0,427.0,0.0,44.0,0.0
06:18:00,579.0,0.0,0.0,259.0,0.0,232.0,319.0,0.0,41.0,300.0,0.0,0.0,474.0,0.0,0.0,180.0,0.0,0.0,77.0,38.0,0.0,1130.0,1341.0,97.0,0.0,45.0,0.0,78.0,150.0,437.0,0.0,45.0,429.0,0.0,43.0,0.0
06:18:15,578.0,0.0,0.0,249.0,0.0,233.0,319.0,0.0,41.0,301.0,0.0,0.0,473.0,0.0,0.0,178.0,57.0,0.0,77.0,38.0,0.0,1131.0,1346.0,97.0,0.0,45.0,0.0,78.0,148.0,436.0,0.0,45.0,423.0,0.0,44.0,0.0
06:18:30,577.0,0.0,0.0,260.0,0.0,232.0,320.0,0.0,41.0,252.0,0.0,0.0,474.0,0.0,0.0,178.0,58.0,0.0,78.0,38.0,0.0,1132.0,1356.0,97.0,0.0,45.0,0.0,87.0,149.0,437.0,0.0,45.0,410.0,0.0,44.0,0.0
06:18:45,579.0,0.0,87.0,262.0,0.0,232.0,319.0,0.0,41.0,252.0,0.0,0.0,475.0,0.0,0.0,178.0,58.0,0.0,77.0,39.0,0.0,1132.0,1350.0,97.0,0.0,45.0,0.0,86.0,149.0,436.0,0.0,45.0,459.0,0.0,44.0,0.0
06:19:00,580.0,0.0,17.0,260.0,0.0,232.0,319.0,0.0,41.0,252.0,0.0,0.0,475.0,0.0,0.0,179.0,58.0,0.0,77.0,38.0,0.0,1132.0,1368.0,97.0,0.0,45.0,0.0,86.0,148.0,436.0,0.0,44.0,458.0,0.0,44.0,0.0
06:19:15,562.0,0.0,7.0,258.0,0.0,232.0,318.0,0.0,41.0,252.0,0.0,0.0,476.0,0.0,0.0,178.0,58.0,0.0,77.0,39.0,0.0,1131.0,1350.0,97.0,0.0,45.0,0.0,86.0,150.0,436.0,0.0,45.0,458.0,0.0,44.0,0.0
06:19:30,578.0,0.0,4.0,261.0,0.0,232.0,318.0,0.0,41.0,252.0,0.0,0.0,477.0,0.0,0.0,178.0,58.0,0.0,77.0,38.0,0.0,1133.0,1341.0,97.0,0.0,45.0,0.0,86.0,148.0,438.0,0.0,45.0,458.0,0.0,44.0,0.0
06:19:45,329.0,0.0,29.0,262.0,0.0,232.0,318.0,0.0,41.0,252.0,0.0,0.0,477.0,0.0,0.0,177.0,58.0,0.0,78.0,38.0,0.0,1134.0,1342.0,97.0,0.0,45.0,0.0,86.0,147.0,432.0,0.0,44.0,458.0,0.0,44.0,0.0
06:20:00,331.0,0.0,84.0,262.0,0.0,232.0,318.0,0.0,41.0,301.0,0.0,0.0,477.0,0.0,0.0,179.0,58.0,0.0,78.0,39.0,0.0,1134.0,1338.0,97.0,0.0,45.0,0.0,86.0,147.0,438.0,0.0,45.0,459.0,0.0,44.0,0.0
06:20:15,331.0,0.0,52.0,261.0,0.0,232.0,318.0,0.0,41.0,302.0,0.0,0.0,478.0,0.0,0.0,179.0,58.0,0.0,77.0,29.0,0.0,1134.0,1339.0,90.0,0.0,45.0,0.0,86.0,150.0,439.0,0.0,44.0,458.0,0.0,44.0,0.0
06:20:30,331.0,0.0,84.0,259.0,0.0,232.0,318.0,0.0,41.0,302.0,0.0,0.0,478.0,0.0,0.0,181.0,58.0,0.0,77.0,7.0,0.0,1134.0,1340.0,97.0,0.0,45.0,0.0,86.0,148.0,439.0,0.0,44.0,458.0,0.0,44.0,0.0
06:20:45,330.0,0.0,86.0,199.0,0.0,233.0,319.0,0.0,41.0,303.0,0.0,0.0,479.0,0.0,0.0,178.0,58.0,63.0,77.0,29.0,0.0,1134.0,1345.0,97.0,0.0,45.0,0.0,87.0,152.0,439.0,0.0,44.0,458.0,0.0,44.0,0.0
06:21:00,331.0,0.0,84.0,196.0,0.0,232.0,320.0,0.0,41.0,303.0,0.0,0.0,479.0,0.0,0.0,179.0,58.0,53.0,77.0,10.0,0.0,1134.0,1339.0,97.0,0.0,45.0,0.0,86.0,149.0,439.0,0.0,44.0,457.0,0.0,44.0,0.0
06:21:15,330.0,0.0,83.0,198.0,0.0,232.0,320.0,0.0,41.0,303.0,0.0,0.0,480.0,0.0,0.0,143.0,57.0,53.0,77.0,8.0,0.0,1133.0,1336.0,0.0,0.0,45.0,0.0,86.0,151.0,439.0,0.0,44.0,457.0,0.0,44.0,0.0
06:21:30,330.0,0.0,64.0,198.0,0.0,232.0,320.0,0.0,41.0,303.0,0.0,0.0,480.0,0.0,0.0,174.0,58.0,55.0,77.0,7.0,0.0,1135.0,1342.0,0.0,0.0,43.0,0.0,86.0,151.0,439.0,0.0,44.0,458.0,0.0,44.0,0.0
06:21:45,329.0,0.0,0.0,197.0,0.0,232.0,320.0,0.0,41.0,303.0,0.0,0.0,480.0,0.0,0.0,143.0,48.0,59.0,50.0,7.0,0.0,1135.0,1347.0,0.0,0.0,46.0,0.0,86.0,150.0,439.0,47.0,44.0,458.0,0.0,44.0,0.0
06:22:00,329.0,0.0,0.0,195.0,0.0,233.0,319.0,0.0,41.0,303.0,0.0,0.0,480.0,0.0,0.0,180.0,48.0,57.0,38.0,6.0,0.0,1134.0,1350.0,0.0,0.0,46.0,0.0,84.0,149.0,439.0,47.0,44.0,458.0,0.0,43.0,0.0
06:22:15,330.0,0.0,0.0,178.0,0.0,233.0,319.0,0.0,41.0,303.0,0.0,0.0,481.0,0.0,0.0,182.0,48.0,54.0,31.0,9.0,0.0,1135.0,1348.0,0.0,0.0,46.0,0.0,79.0,152.0,439.0,46.0,44.0,457.0,0.0,44.0,0.0
06:22:30,329.0,0.0,0.0,195.0,0.0,232.0,320.0,0.0,41.0,303.0,0.0,0.0,481.0,0.0,0.0,178.0,48.0,57.0,41.0,9.0,0.0,1134.0,1249.0,0.0,0.0,42.0,0.0,78.0,150.0,439.0,47.0,44.0,457.0,0.0,44.0,0.0
06:22:45,330.0,0.0,0.0,198.0,0.0,232.0,320.0,0.0,41.0,303.0,0.0,0.0,481.0,0.0,0.0,180.0,46.0,56.0,40.0,10.0,0.0,1134.0,1347.0,0.0,0.0,42.0,0.0,42.0,153.0,439.0,47.0,44.0,456.0,0.0,43.0,0.0
06:23:00,329.0,0.0,89.0,188.0,0.0,233.0,319.0,0.0,41.0,303.0,0.0,0.0,481.0,0.0,0.0,180.0,26.0,56.0,77.0,14.0,0.0,1134.0,1348.0,0.0,0.0,43.0,0.0,42.0,151.0,439.0,47.0,44.0,457.0,0.0,44.0,0.0
06:23:15,329.0,0.0,0.0,200.0,0.0,233.0,320.0,0.0,41.0,303.0,0.0,0.0,482.0,0.0,0.0,181.0,51.0,57.0,46.0,6.0,0.0,1134.0,1348.0,0.0,0.0,44.0,0.0,42.0,152.0,439.0,47.0,44.0,456.0,0.0,44.0,0.0
06:23:30,330.0,0.0,0.0,198.0,0.0,232.0,320.0,0.0,41.0,303.0,0.0,0.0,482.0,0.0,0.0,179.0,58.0,60.0,0.0,9.0,0.0,1134.0,1356.0,0.0,0.0,44.0,0.0,42.0,151.0,439.0,47.0,44.0,456.0,0.0,44.0,0.0
06:23:45,330.0,0.0,0.0,261.0,0.0,232.0,320.0,0.0,41.0,303.0,0.0,0.0,482.0,0.0,0.0,177.0,59.0,58.0,0.0,0.0,0.0,1133.0,1338.0,0.0,0.0,44.0,0.0,42.0,148.0,439.0,47.0,44.0,456.0,0.0,44.0,0.0
